adjective_suffix
գին
ագին
գույն
ագույն
ալի
ածո
ական
ակի
ային
անի
ավետ
ավոր
ավուն
ատ
արդ
ե
ելի
եղ
ի
ների
ներին
յի
ին
լիկ
կոտ
յա
յալ
յան
ովի
ոտ
ու
ուն
