noun_suffix
ակ
ածո
ան
անակ
անի
նոց
անք
արան
ար
արար
արք
ացի
ցի
ացու
ացք
եղեն
ենի
եստ
իլ
իկ
իչ
իք
մունք
յուն
ող
ոն
որդ
ոց
պան
ստան
ված
վածք
ություն
ուկ
ուհի
ում
ույթ
ույց
ույք
ունդ
ունք
ուչ
ուստ
ուտ
ուրդ
ուց
ք
