adjective_prefix
ամենա
ան
ապ
ապա
բաց
բացա
գեր
գերա
դժ
ընդ
հակ
հակա
համ
համա
հար
հարա
ստոր
ստորա
չ
վեր
վերա
տ
տար
տարա
